Boid,Speed
Boid232,3.465797,0.3533334
Boid233,2.563416,0.3533334
Boid234,1.047376,0.3533334
Boid235,1.359234,0.3533334
Boid236,2.079654,0.3533334
Boid237,1.439839,0.3533334
Boid238,3.93506,0.3533334
Boid239,1.616611,0.3533334
Boid240,4.511131,0.3533334
Boid241,1.143767,0.3533334
Boid242,2.728863,0.3533334
Boid243,2.561908,0.3533334
Boid244,4.436959,0.3533334
Boid245,1.649328,0.3533334
Boid246,1.672655,0.3533334
Boid247,2.223087,0.3533334
Boid248,3.811062,0.3533334
Boid249,3.05877,0.3533334
Boid0,4.874487,0.4618033
Boid1,1.60384,0.4618033
Boid2,1.060226,0.4618033
Boid3,3.728577,0.4618033
Boid4,2.092229,0.4618033
Boid5,4.076219,0.4618033
Boid6,2.502153,0.4618033
Boid7,4.595072,0.4618033
Boid8,2.019197,0.4618033
Boid9,4.439864,0.4618033
Boid10,3.708627,0.4618033
Boid11,4.954116,0.4618033
Boid12,3.260269,0.4618033
Boid13,1.856429,0.4618033
Boid14,3.077693,0.4618033
Boid15,3.741995,0.4618033
Boid16,3.97095,0.4618033
Boid17,2.177422,0.4618033
Boid18,4.634531,0.4618033
Boid19,2.179257,0.4618033
Boid20,2.87099,0.4618033
Boid21,2.457058,0.4618033
Boid22,1.466533,0.4618033
Boid23,1.696829,0.4618033
Boid24,2.261945,0.4618033
Boid25,1.348801,0.4618033
Boid26,3.04914,0.4618033
Boid27,1.179807,0.4618033
Boid28,1.976879,0.4618033
Boid29,4.661291,0.4618033
Boid30,4.674067,0.4618033
Boid31,2.54766,0.4618033
Boid32,1.654626,0.4618033
Boid33,4.897082,0.4618033
Boid34,1.059292,0.4618033
Boid35,4.079509,0.4618033
Boid36,1.234229,0.4618033
Boid37,2.427175,0.4618033
Boid38,1.911879,0.4618033
Boid39,3.09888,0.4618033
Boid40,1.977341,0.4618033
Boid41,4.117907,0.4618033
Boid42,1.905455,0.4618033
Boid43,1.358085,0.4618033
Boid44,4.425152,0.4618033
Boid45,1.162977,0.4618033
Boid46,1.92007,0.4618033
Boid47,3.32201,0.4618033
Boid48,4.869547,0.4618033
Boid49,2.427681,0.4618033
Boid50,3.983526,0.4618033
Boid51,3.571086,0.4618033
Boid52,1.93541,0.4618033
Boid53,2.829008,0.4618033
Boid54,2.359451,0.4618033
Boid55,1.377841,0.4618033
Boid56,4.578469,0.4618033
Boid57,2.261438,0.4618033
Boid58,3.501282,0.4618033
Boid59,3.330305,0.4618033
Boid60,4.079186,0.4618033
Boid61,4.142336,0.4618033
Boid62,2.543112,0.4618033
Boid63,3.857526,0.4618033
Boid64,3.948104,0.4618033
Boid65,1.873242,0.4618033
Boid66,1.371984,0.4618033
Boid67,1.001092,0.4618033
Boid68,2.667793,0.4618033
Boid69,1.124453,0.4618033
Boid70,2.868512,0.4618033
Boid71,4.890993,0.4618033
Boid72,3.340097,0.4618033
Boid73,4.70191,0.4618033
Boid74,2.519276,0.4618033
Boid75,3.185929,0.4618033
Boid76,3.336936,0.4618033
Boid77,3.959204,0.4618033
Boid78,3.472713,0.4618033
Boid79,4.220452,0.4618033
Boid80,2.647787,0.4618033
Boid81,3.428276,0.4618033
Boid82,4.341112,0.4618033
Boid83,2.886794,0.4618033
Boid84,3.196256,0.4618033
Boid85,3.578469,0.4618033
Boid86,3.010893,0.4618033
Boid87,2.794452,0.4618033
Boid88,3.299455,0.4618033
Boid89,3.822235,0.4618033
Boid90,2.796093,0.4618033
Boid91,1.106207,0.4618033
Boid92,1.406752,0.4618033
Boid93,1.424619,0.4618033
Boid94,2.396077,0.4618033
Boid95,4.781942,0.4618033
Boid96,2.493722,0.4618033
Boid97,3.285536,0.4618033
Boid98,1.175165,0.4618033
Boid99,1.988169,0.4618033
Boid100,3.720345,0.4618033
Boid101,4.315734,0.4618033
Boid102,2.638013,0.4618033
Boid103,3.037481,0.4618033
Boid104,2.357734,0.4618033
Boid105,3.100625,0.4618033
Boid106,1.420047,0.4618033
Boid107,3.071027,0.4618033
Boid108,4.388208,0.4618033
Boid109,4.477975,0.4618033
Boid110,2.627174,0.4618033
Boid111,4.311201,0.4618033
Boid112,2.673763,0.4618033
Boid113,3.405147,0.4618033
Boid114,2.757541,0.4618033
Boid115,4.368523,0.4618033
Boid116,1.24035,0.4618033
Boid117,3.987594,0.4618033
Boid118,3.073598,0.4618033
Boid119,2.818153,0.4618033
Boid120,2.972178,0.4618033
Boid121,3.671034,0.4618033
Boid122,1.074237,0.4618033
Boid123,1.480556,0.4618033
Boid124,2.781879,0.4618033
Boid125,4.801093,0.4618033
Boid126,3.933748,0.4618033
Boid127,3.933475,0.4618033
Boid128,1.921757,0.4618033
Boid129,4.759684,0.4618033
Boid130,2.075192,0.4618033
Boid131,1.053056,0.4618033
Boid132,2.74999,0.4618033
Boid133,3.240165,0.4618033
Boid134,4.64434,0.4618033
Boid135,3.692249,0.4618033
Boid136,3.289295,0.4618033
Boid137,3.566518,0.4618033
Boid138,3.167872,0.4618033
Boid139,1.72516,0.4618033
Boid140,3.455223,0.4618033
Boid141,4.755554,0.4618033
Boid142,1.389051,0.4618033
Boid143,3.748053,0.4618033
Boid144,2.318306,0.4618033
Boid145,3.686497,0.4618033
Boid146,3.232809,0.4618033
Boid147,2.084851,0.4618033
Boid148,1.587374,0.4618033
Boid149,1.425605,0.4618033
Boid150,2.668473,0.4618033
Boid151,3.675068,0.4618033
Boid152,1.209127,0.4618033
Boid153,4.4582,0.4618033
Boid154,3.337424,0.4618033
Boid155,1.122226,0.4618033
Boid156,3.22631,0.4618033
Boid157,4.990895,0.4618033
Boid158,3.91047,0.4618033
Boid159,1.788488,0.4618033
Boid160,3.557384,0.4618033
Boid161,2.855895,0.4618033
Boid162,3.548266,0.4618033
Boid163,1.879395,0.4618033
Boid164,3.631591,0.4618033
Boid165,2.704795,0.4618033
Boid166,1.317334,0.4618033
Boid167,4.100895,0.4618033
Boid168,2.141008,0.4618033
Boid169,1.645191,0.4618033
Boid170,1.841972,0.4618033
Boid171,1.257686,0.4618033
Boid172,1.550602,0.4618033
Boid173,4.024201,0.4618033
Boid174,4.679418,0.4618033
Boid175,2.932585,0.4618033
Boid176,1.214972,0.4618033
Boid177,3.451628,0.4618033
