Boid,Speed
Boid99,931.2907
Boid100,690.1034
Boid101,644.0505
Boid102,584.949
Boid103,694.9441
Boid104,539.4319
Boid105,844.6603
Boid106,173.5404
Boid107,708.6986
Boid108,445.005
Boid109,265.1568
Boid110,773.9589
Boid111,493.1246
Boid112,765.7264
Boid113,449.41
Boid114,281.1971
Boid115,169.0439
Boid116,415.6781
Boid117,968.6571
Boid118,778.5109
Boid119,408.9829
Boid120,453.0485
Boid121,690.9932
Boid122,669.9015
Boid123,762.7036
Boid124,338.0746
Boid125,248.7759
Boid126,660.676
Boid127,196.5185
Boid128,930.8723
Boid129,422.4191
Boid130,917.0826
Boid131,118.6299
Boid132,722.2361
Boid133,841.0587
Boid134,328.9086
Boid135,436.1385
Boid136,461.6203
Boid137,480.9832
Boid138,346.5369
Boid139,812.3589
Boid140,651.3196
Boid141,172.5896
Boid142,757.9028
Boid143,562.109
Boid144,604.2366
Boid145,101.8112
Boid146,677.3833
Boid147,468.1572
Boid148,485.3773
Boid149,85.21738
Boid150,618.9117
Boid151,946.0724
Boid152,325.5422
Boid153,677.0764
Boid154,607.7245
Boid155,149.9486
Boid156,415.9184
Boid157,232.9007
