boid-i, boid-j, timeElapsed
Boid19,Boid14,.654
Boid20,Boid26,.654
Boid21,Boid14,.654
Boid22,Boid14,.654
Boid23,Boid6,.654
Boid24,Boid14,.654
Boid25,Boid9,.654
Boid26,Boid19,.654
Boid27,Boid19,.654
Boid28,Boid19,.654
Boid29,Boid10,.654
Boid30,Boid19,.654
Boid31,Boid20,.654
Boid32,Boid14,.654
Boid33,Boid10,.654
Boid34,Boid33,.654
Boid35,Boid14,.654
Boid36,Boid45,.654
Boid37,Boid18,.654
Boid38,Boid14,.654
Boid39,Boid8,.654
Boid40,Boid31,.654
Boid41,Boid6,.654
Boid42,Boid37,.654
Boid43,Boid19,.654
Boid44,Boid19,.654
Boid45,Boid18,.654
Boid46,Boid18,.654
Boid47,Boid9,.654
Boid48,Boid6,.654
Boid49,Boid46,.654
Boid0,Boid25,.675
Boid1,Boid25,.675
Boid2,Boid5,.675
Boid3,Boid13,.675
Boid4,Boid24,.675
Boid5,Boid7,.675
Boid6,Boid5,.675
Boid7,Boid21,.675
Boid8,Boid16,.675
Boid9,Boid21,.675
Boid10,Boid5,.675
Boid11,Boid25,.675
Boid12,Boid25,.675
Boid13,Boid30,.675
Boid14,Boid21,.675
Boid15,Boid13,.675
Boid16,Boid30,.675
Boid17,Boid7,.675
Boid18,Boid13,.675
Boid19,Boid7,.675
Boid20,Boid13,.675
Boid21,Boid7,.675
Boid22,Boid7,.675
Boid23,Boid13,.675
Boid24,Boid21,.675
Boid25,Boid5,.675
Boid26,Boid16,.675
Boid27,Boid25,.675
Boid28,Boid25,.675
Boid29,Boid16,.675
Boid30,Boid5,.675
Boid31,Boid13,.675
Boid32,Boid7,.675
Boid33,Boid13,.675
Boid34,Boid13,.675
Boid35,Boid5,.675
Boid36,Boid31,.675
Boid37,Boid13,.675
Boid38,Boid7,.675
Boid39,Boid13,.675
Boid40,Boid31,.675
Boid41,Boid25,.675
Boid42,Boid37,.675
Boid43,Boid5,.675
Boid44,Boid25,.675
Boid45,Boid13,.675
Boid46,Boid13,.675
Boid47,Boid5,.675
Boid48,Boid30,.675
Boid49,Boid23,.675
Boid0,Boid25,.695
Boid1,Boid25,.695
Boid2,Boid19,.695
Boid3,Boid8,.695
Boid4,Boid24,.695
Boid5,Boid7,.695
Boid6,Boid19,.695
Boid7,Boid14,.695
Boid8,Boid16,.695
Boid9,Boid7,.695
Boid10,Boid19,.695
Boid11,Boid25,.695
Boid12,Boid19,.695
Boid13,Boid8,.695
Boid14,Boid7,.695
Boid15,Boid3,.695
Boid16,Boid8,.695
Boid17,Boid7,.695
Boid18,Boid8,.695
Boid19,Boid7,.695
Boid20,Boid8,.695
Boid21,Boid7,.695
Boid22,Boid7,.695
Boid23,Boid27,.695
Boid24,Boid7,.695
Boid25,Boid19,.695
Boid26,Boid8,.695
Boid27,Boid19,.695
Boid28,Boid19,.695
Boid29,Boid8,.695
Boid30,Boid19,.695
Boid31,Boid13,.695
Boid32,Boid7,.695
Boid33,Boid8,.695
Boid34,Boid13,.695
Boid35,Boid14,.695
Boid36,Boid15,.695
Boid37,Boid3,.695
Boid38,Boid7,.695
Boid39,Boid8,.695
Boid40,Boid31,.695
Boid41,Boid25,.695
Boid42,Boid37,.695
Boid43,Boid19,.695
Boid44,Boid19,.695
Boid45,Boid3,.695
Boid46,Boid27,.695
Boid47,Boid19,.695
Boid48,Boid8,.695
Boid49,Boid46,.695
Boid0,Boid26,.718
Boid1,Boid28,.718
Boid2,Boid26,.718
Boid3,Boid26,.718
Boid4,Boid9,.718
Boid5,Boid9,.718
Boid6,Boid26,.718
Boid7,Boid9,.718
Boid8,Boid26,.718
Boid9,Boid14,.718
Boid10,Boid26,.718
Boid11,Boid6,.718
Boid12,Boid26,.718
Boid13,Boid26,.718
Boid14,Boid9,.718
Boid15,Boid13,.718
Boid16,Boid26,.718
Boid17,Boid9,.718
Boid18,Boid8,.718
Boid19,Boid9,.718
Boid20,Boid26,.718
Boid21,Boid9,.718
Boid22,Boid9,.718
Boid23,Boid28,.718
Boid24,Boid9,.718
Boid25,Boid9,.718
Boid26,Boid16,.718
Boid27,Boid26,.718
Boid28,Boid26,.718
Boid29,Boid26,.718
Boid30,Boid26,.718
Boid31,Boid13,.718
Boid32,Boid9,.718
Boid33,Boid26,.718
Boid34,Boid13,.718
Boid35,Boid9,.718
Boid36,Boid31,.718
Boid37,Boid13,.718
Boid38,Boid9,.718
Boid39,Boid8,.718
Boid40,Boid31,.718
Boid41,Boid28,.718
Boid42,Boid31,.718
Boid43,Boid26,.718
Boid44,Boid26,.718
Boid45,Boid13,.718
Boid46,Boid13,.718
Boid47,Boid9,.718
Boid48,Boid26,.718
Boid49,Boid31,.718
Boid0,Boid35,.740
Boid1,Boid35,.740
Boid2,Boid22,.740
Boid3,Boid15,.740
Boid4,Boid9,.740
Boid5,Boid9,.740
Boid6,Boid22,.740
Boid7,Boid9,.740
Boid8,Boid16,.740
Boid9,Boid21,.740
Boid10,Boid16,.740
Boid11,Boid25,.740
Boid12,Boid22,.740
Boid13,Boid30,.740
Boid14,Boid9,.740
Boid15,Boid31,.740
Boid16,Boid30,.740
Boid17,Boid9,.740
Boid18,Boid15,.740
Boid19,Boid9,.740
Boid20,Boid15,.740
Boid21,Boid9,.740
Boid22,Boid9,.740
Boid23,Boid15,.740
Boid24,Boid9,.740
Boid25,Boid22,.740
Boid26,Boid16,.740
Boid27,Boid16,.740
Boid28,Boid16,.740
Boid29,Boid16,.740
Boid30,Boid16,.740
