Boid,Speed
Boid242,1.172165,0.02
Boid243,3.119709,0.02
Boid244,2.62818,0.02
Boid245,4.039826,0.02
Boid246,3.555199,0.02
Boid247,2.39798,0.02
Boid248,2.392972,0.02
Boid249,3.031684,0.02
Boid0,2.412791,0.3533334
Boid1,1.493959,0.3533334
Boid2,4.56125,0.3533334
Boid3,2.613837,0.3533334
Boid4,2.672753,0.3533334
Boid5,1.579716,0.3533334
Boid6,2.645829,0.3533334
Boid7,1.639725,0.3533334
Boid8,3.186063,0.3533334
Boid9,4.90136,0.3533334
Boid10,2.563543,0.3533334
Boid11,4.927832,0.3533334
Boid12,3.700515,0.3533334
Boid13,3.513371,0.3533334
Boid14,2.835976,0.3533334
Boid15,2.962396,0.3533334
Boid16,3.58747,0.3533334
Boid17,4.679681,0.3533334
Boid18,1.994889,0.3533334
Boid19,4.62294,0.3533334
Boid20,3.20301,0.3533334
Boid21,4.49324,0.3533334
Boid22,4.098429,0.3533334
Boid23,2.209984,0.3533334
Boid24,4.782537,0.3533334
Boid25,3.907074,0.3533334
Boid26,3.218651,0.3533334
Boid27,1.302616,0.3533334
Boid28,1.524768,0.3533334
Boid29,4.118177,0.3533334
Boid30,3.593679,0.3533334
Boid31,4.999949,0.3533334
Boid32,1.870978,0.3533334
Boid33,1.76244,0.3533334
Boid34,1.716653,0.3533334
Boid35,1.188867,0.3533334
Boid36,4.635364,0.3533334
Boid37,4.479417,0.3533334
Boid38,4.525036,0.3533334
Boid39,3.141921,0.3533334
Boid40,4.973065,0.3533334
Boid41,2.725005,0.3533334
Boid42,2.510573,0.3533334
Boid43,4.709881,0.3533334
Boid44,4.519536,0.3533334
Boid45,4.054748,0.3533334
Boid46,4.966815,0.3533334
Boid47,3.258057,0.3533334
Boid48,1.557215,0.3533334
Boid49,4.440139,0.3533334
Boid50,4.442712,0.3533334
Boid51,1.194307,0.3533334
Boid52,4.248809,0.3533334
Boid53,1.617537,0.3533334
Boid54,4.024231,0.3533334
Boid55,4.025051,0.3533334
Boid56,3.67363,0.3533334
Boid57,2.129702,0.3533334
Boid58,3.6325,0.3533334
Boid59,3.040542,0.3533334
Boid60,2.594182,0.3533334
Boid61,1.485483,0.3533334
Boid62,2.76688,0.3533334
Boid63,2.206957,0.3533334
Boid64,4.546487,0.3533334
Boid65,1.209309,0.3533334
Boid66,4.378462,0.3533334
Boid67,4.962007,0.3533334
Boid68,4.0357,0.3533334
Boid69,4.64987,0.3533334
Boid70,2.287028,0.3533334
Boid71,1.867613,0.3533334
Boid72,2.143666,0.3533334
Boid73,3.799895,0.3533334
Boid74,4.088404,0.3533334
Boid75,1.749297,0.3533334
Boid76,1.213243,0.3533334
Boid77,3.647892,0.3533334
Boid78,4.364324,0.3533334
Boid79,1.418863,0.3533334
Boid80,3.223092,0.3533334
Boid81,3.308158,0.3533334
Boid82,4.12784,0.3533334
Boid83,3.247541,0.3533334
Boid84,1.032892,0.3533334
Boid85,3.237122,0.3533334
Boid86,1.792905,0.3533334
Boid87,1.359031,0.3533334
Boid88,3.005273,0.3533334
Boid89,3.338356,0.3533334
Boid90,2.224237,0.3533334
Boid91,3.526476,0.3533334
Boid92,2.24951,0.3533334
Boid93,2.621112,0.3533334
Boid94,3.610377,0.3533334
Boid95,3.461836,0.3533334
Boid96,4.364954,0.3533334
Boid97,4.151117,0.3533334
Boid98,4.273787,0.3533334
Boid99,4.081964,0.3533334
Boid100,4.392304,0.3533334
Boid101,4.281665,0.3533334
Boid102,2.246879,0.3533334
Boid103,2.076154,0.3533334
Boid104,3.140235,0.3533334
Boid105,2.505539,0.3533334
Boid106,4.178668,0.3533334
Boid107,3.276972,0.3533334
Boid108,3.497581,0.3533334
Boid109,1.637823,0.3533334
Boid110,2.005462,0.3533334
Boid111,4.791021,0.3533334
Boid112,2.935971,0.3533334
Boid113,3.690775,0.3533334
Boid114,4.331271,0.3533334
Boid115,3.733108,0.3533334
Boid116,4.824835,0.3533334
Boid117,1.810049,0.3533334
Boid118,3.107217,0.3533334
Boid119,4.425705,0.3533334
Boid120,1.294648,0.3533334
Boid121,1.203605,0.3533334
Boid122,3.634524,0.3533334
Boid123,1.082033,0.3533334
Boid124,2.660728,0.3533334
Boid125,3.337237,0.3533334
Boid126,4.923837,0.3533334
Boid127,1.83497,0.3533334
Boid128,1.094003,0.3533334
Boid129,1.388719,0.3533334
Boid130,3.252967,0.3533334
Boid131,4.732472,0.3533334
Boid132,3.168861,0.3533334
Boid133,1.016943,0.3533334
Boid134,3.841205,0.3533334
Boid135,4.022298,0.3533334
Boid136,4.020275,0.3533334
Boid137,2.391336,0.3533334
Boid138,2.71113,0.3533334
Boid139,4.217443,0.3533334
Boid140,3.395074,0.3533334
Boid141,3.474096,0.3533334
Boid142,2.997124,0.3533334
Boid143,2.907297,0.3533334
Boid144,2.649781,0.3533334
Boid145,3.960661,0.3533334
Boid146,1.662452,0.3533334
Boid147,1.075984,0.3533334
Boid148,2.274647,0.3533334
Boid149,4.659136,0.3533334
Boid150,4.618588,0.3533334
Boid151,3.607572,0.3533334
Boid152,4.687572,0.3533334
Boid153,4.889717,0.3533334
Boid154,2.164568,0.3533334
Boid155,3.817173,0.3533334
Boid156,4.153469,0.3533334
Boid157,1.056329,0.3533334
Boid158,4.020785,0.3533334
Boid159,2.618145,0.3533334
Boid160,1.99207,0.3533334
Boid161,1.000573,0.3533334
Boid162,2.301545,0.3533334
Boid163,1.977261,0.3533334
Boid164,2.055101,0.3533334
Boid165,3.685459,0.3533334
Boid166,3.307319,0.3533334
Boid167,4.514343,0.3533334
Boid168,4.393855,0.3533334
Boid169,1.68367,0.3533334
Boid170,3.022462,0.3533334
Boid171,4.418006,0.3533334
Boid172,4.171556,0.3533334
Boid173,3.967102,0.3533334
Boid174,4.463022,0.3533334
Boid175,2.304141,0.3533334
Boid176,4.773469,0.3533334
Boid177,1.892097,0.3533334
Boid178,4.069012,0.3533334
Boid179,1.885535,0.3533334
Boid180,2.793057,0.3533334
Boid181,1.562479,0.3533334
