Boid,Speed
Boid134,61.45884
Boid135,80.81001
Boid136,28.00777
Boid137,65.07504
Boid138,14.80081
Boid139,39.43999
Boid140,88.53671
Boid141,50.94955
Boid142,60.99023
Boid143,64.95341
Boid144,115.9352
Boid145,90.45055
Boid146,77.08109
Boid147,24.78664
Boid148,38.54162
Boid149,101.088
Boid150,126.209
Boid151,119.1177
Boid152,79.17616
Boid153,56.08936
Boid154,127.0878
Boid155,100.699
Boid156,69.38289
Boid157,73.25593
Boid158,125.9996
Boid159,103.8563
Boid160,104.3868
Boid161,66.2515
Boid162,100.6758
Boid163,33.33002
Boid164,22.91222
Boid165,43.12024
Boid166,60.71133
Boid167,3.289981
Boid168,93.28997
Boid169,63.35263
Boid170,56.21867
Boid171,70.59471
Boid172,138.5799
Boid173,86.26662
Boid174,94.90968
Boid175,92.26464
Boid176,111.528
Boid177,70.76564
Boid178,44.30618
Boid179,107.0887
Boid180,111.3839
Boid181,62.67194
Boid182,39.83277
Boid183,65.28822
Boid184,90.51935
Boid185,111.4125
Boid186,60.82156
Boid187,135.3987
Boid188,125.388
Boid189,129.903
Boid190,85.29648
Boid191,57.29495
Boid192,27.9056
Boid193,75.1733
Boid194,53.67121
Boid195,134.6681
Boid196,116.6007
Boid197,90.76776
Boid198,12.12809
Boid199,21.51709
Boid200,29.21539
Boid201,70.06336
Boid202,82.70986
Boid203,120.1137
Boid204,102.5139
Boid205,44.66045
Boid206,66.06583
Boid207,60.43918
Boid208,53.56446
Boid209,25.06895
Boid210,66.53704
Boid211,122.7675
Boid212,59.73308
Boid213,69.65108
Boid214,98.79367
Boid215,50.42797
Boid216,41.31341
Boid217,96.79831
Boid218,117.3756
Boid219,89.16241
Boid220,84.58827
Boid221,45.19064
Boid222,73.2384
Boid223,30.66403
Boid224,19.41915
Boid225,72.93257
Boid226,95.85766
Boid227,136.5972
Boid228,129.7003
Boid229,102.9683
Boid230,124.4222
Boid231,68.25621
Boid232,99.96442
Boid233,88.61491
Boid234,46.23365
Boid235,84.41804
Boid236,47.50282
Boid237,50.29146
Boid238,74.39458
Boid239,26.5242
Boid240,105.8384
Boid241,93.07375
Boid242,61.67804
Boid243,91.51839
Boid244,95.1549
Boid245,47.63924
Boid246,76.93416
Boid247,84.89963
Boid248,26.98121
Boid249,66.19835
Boid0,469.4995
Boid1,954.767
Boid2,730.1669
Boid3,127.8153
Boid4,193.5471
Boid5,952.824
Boid6,207.8802
Boid7,223.7927
Boid8,150.6025
Boid9,272.106
Boid10,135.5411
Boid11,972.9822
Boid12,200.081
Boid13,356.7183
Boid14,404.0552
Boid15,902.8351
Boid16,592.7316
Boid17,666.0366
Boid18,621.1459
Boid19,482.1625
Boid20,915.7314
Boid21,634.5926
Boid22,901.1611
Boid23,590.5248
Boid24,148.5649
Boid25,182.2209
Boid26,610.6943
Boid27,913.3017
Boid28,558.3721
Boid29,400.4337
Boid30,465.2933
Boid31,534.8051
Boid32,206.6766
Boid33,489.4529
Boid34,711.667
Boid35,125.8044
Boid36,460.6238
Boid37,970.1221
Boid38,491.3689
Boid39,608.842
Boid40,710.9666
Boid41,579.9344
Boid42,790.8821
Boid43,891.3632
Boid44,404.1142
Boid45,378.4557
Boid46,781.4849
Boid47,364.0747
Boid48,532.3737
Boid49,372.996
Boid50,134.5922
Boid51,426.5924
Boid52,540.2784
Boid53,352.6946
Boid54,428.7688
Boid55,355.8466
Boid56,799.4791
Boid57,929.6124
Boid58,701.8943
Boid59,720.4611
Boid60,387.1908
Boid61,388.4115
Boid62,606.1576
Boid63,461.6885
Boid64,303.516
Boid65,615.0222
Boid66,122.6208
Boid67,689.7431
Boid68,458.4097
Boid69,507.0092
Boid70,43.91772
Boid71,503.1015
Boid72,668.994
